1/n (high and low 5) (orig),"mutUniformInt (-5,5,0.09)",3/n (high and low 5) (orig),1/n (high and low 10),3/n (high and low 10),CROSSOVER STARTS,One-Pt Crossover,Two-Pt Crossover,SELECTION STARTS,TournamentSelection3,TournamentSelection5,TournamentSelection6,TournamentSelection8,RouletteSelection,NSGA-II,RandomSelection,,FINAL,100_Tourn3,100_Tourn6
,,,,,,,,,,,,,,,,,,2097,1952
,,,,,,,,,,,,,,,,,,2000,2043
,,,,,,,,,,,,,,,,,,2065,2015
,,,,,,,,,,,,,,,,,,2049,2002
,,,,,,,,,,,,,,,,,,2026,2021
,,,,,,,,,,,,,,,,,,2004,1909
,,,,,,,,,,,,,,,,,,2028,1984
,,,,,,,,,,,,,,,,,,2005,2023
,,,,,,,,,,,,,,,,,,1963,1906
,,,,,,,,,,,,,,,,,,2045,2016
,,,,,,,,,,,,,,,,,,2055,2014
,,,,,,,,,,,,,,,,,,2074,1967
,,,,,,,,,,,,,,,,,,2000,1921
,,,,,,,,,,,,,,,,,,2020,1984
,,,,,,,,,,,,,,,,,,2026,2021
,,,,,,,,,,,,,,,,,,2016,1995
,,,,,,,,,,,,,,,,,,2040,1978
,,,,,,,,,,,,,,,,,,1995,1953
,,,,,,,,,,,,,,,,,,1981,2044
,,,,,,,,,,,,,,,,,,2056,2040
,,,,,,,,,,,,,,,,,,2036,1988
,,,,,,,,,,,,,,,,,,2018,2015
,,,,,,,,,,,,,,,,,,1963,1977
,,,,,,,,,,,,,,,,,,2011,2062
,,,,,,,,,,,,,,,,,,2052,1982
,,,,,,,,,,,,,,,,,,1982,2021
,,,,,,,,,,,,,,,,,,2014,2086
,,,,,,,,,,,,,,,,,,2002,2027
,,,,,,,,,,,,,,,,,,1980,1934
,,,,,,,,,,,,,,,,,,2022,1965
,,,,,,,,,,,,,,,,,,2064,1976
,,,,,,,,,,,,,,,,,,2056,1899
,,,,,,,,,,,,,,,,,,2003,1981
